uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1718920483","20 Jun 2024, 21:54","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","the 360 remix with robyn and yung lean","","the 360 remix with robyn and yung lean",""
"1718920264","20 Jun 2024, 21:51","Yeah Yeah Yeahs","584c04d2-4acc-491b-8a0a-e63133f4bfc4","Fever To Tell (Deluxe Remastered)","","Maps","46388d40-71c2-47e9-a37f-05fd0459c454"
"1718920042","20 Jun 2024, 21:47","Trauma Ray","7406b0d5-657d-445b-8cb0-781bb4e3d276","[trauma ray]","020f85df-6fb8-407b-bfcc-6fdb9a9d67d7","Relay","47d7d15c-ad1c-4ff0-84a5-db403f05926e"
"1718919733","20 Jun 2024, 21:42","Superdrag","c60c930e-d081-486c-b0ca-2dcdd8ee2b96","Last Call for Vitriol","64b75fd5-d712-41fc-a942-7f28d0795f93","Feeling Like I Do","48674005-4517-4372-a8d7-35c5644b5459"
"1718919601","20 Jun 2024, 21:40","Nirvana","","In Utero","054d2a63-97a8-4e68-ace0-519d6dea7551","Very Ape",""
"1718919502","20 Jun 2024, 21:38","Pavement","","Slanted & Enchanted","","Two States","8f8a6f22-7b5e-4532-a2eb-ab701ee88298"
"1718919312","20 Jun 2024, 21:35","Kendrick Lamar","381086ea-f511-4aba-bdf9-71c753dc5077","DAMN.","503c4a0f-97b9-4d6b-9a27-52a7f6b21cc9","ELEMENT.","34395269-c05f-4bde-bd95-0ded15cb8b15"
"1718919109","20 Jun 2024, 21:31","Soccer Mommy","84803b1d-dcb3-490d-9af5-debbba64a011","rom com 2021","9058dbdd-44bb-4da3-be16-f0776690639a","rom com 2021",""
"1718918843","20 Jun 2024, 21:27","Olivia Rodrigo","6925db17-f35e-42f3-a4eb-84ee6bf5d4b0","GUTS","1b1e6e31-009c-42de-ba51-0825653d4960","bad idea right?","de92a070-4368-493b-8755-ec7e3036b352"
"1718918556","20 Jun 2024, 21:22","Kendrick Lamar","381086ea-f511-4aba-bdf9-71c753dc5077","To Pimp a Butterfly","04944dc2-3736-45bc-b3b6-63fd42b86136","Wesley's Theory","c47d12de-2982-4875-8200-ad47b6e3c68d"
"1718915893","20 Jun 2024, 20:38","Chief Keef","9118f524-be76-4eaf-875c-ccf15e2a2ad6","4NEM","9d1aae9f-d174-424d-b523-2910fe4f20e8","Bitch Where","890d23e6-0173-4a37-a321-f68fece09516"
"1718915646","20 Jun 2024, 20:34","Emperor X","e79dde40-8b35-4105-89f8-a5b0afbfd43c","Western Teleport","29b8fb37-45c9-4d40-8461-a3378e843b20","Erica Western Teleport","85044e0a-97af-3a5f-b740-ddae0b0a5978"
"1718884988","20 Jun 2024, 12:03","Indigo De Souza","a8d894ce-0e6b-4ddd-a49b-46f6330a590f","Any Shape You Take","056d5cad-2454-43c8-b4f1-bb59f12dd822","Kill Me","4a3a6ef3-e227-4e3b-babd-f7f91e7a8e6b"
"1718884819","20 Jun 2024, 12:00","The Beths","4c74fc48-8108-4556-87af-154af74f2ce5","Expert in a Dying Field","50b23d48-2575-48a8-b7d5-0444ff1f55f5","Silence Is Golden","53b43092-bdbb-4e32-9069-52613a6c3fd4"
"1718884676","20 Jun 2024, 11:57","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT","4b4698bd-25c7-4635-96e2-178ae2d5cd3b","Sympathy is a knife","75fbda47-954c-4a9d-b6a8-e28ad376313a"
"1718884446","20 Jun 2024, 11:54","The Strokes","","Room on Fire","0a2e2459-d814-44b6-a5e9-575b666020cb","Reptilia","8f9dec01-c479-4ad4-96b5-0950a97c1a91"
"1718884233","20 Jun 2024, 11:50","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Spider","0852a1d8-c0b8-49d8-a6fd-e14332af93a0"
"1718884112","20 Jun 2024, 11:48","8485","68eae9ac-43a1-465f-97dd-ce5ea3cb9dc9","Personal Protocol","32a94c14-1f18-406b-a1a0-de892fcd75ca","COOL_DNB_SONG",""
"1718883983","20 Jun 2024, 11:46","Japanese Breakfast","8c529495-91f5-4e2f-b71b-adcb66878d04","Jubilee","7aa0673a-53b0-4cb8-9a94-9834b3c43b22","Savage Good Boy","ab506b58-43d1-486d-8f7f-4240d44d1a74"
"1718883758","20 Jun 2024, 11:42","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","Good Luck, Babe!","3f6e621f-aefd-4597-8866-9072a1161ea6","Good Luck, Babe!","7194cfbb-36e7-48a1-b7aa-8dce21a0785a"
"1718883633","20 Jun 2024, 11:40","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","BRAT and it’s the same but there’s three more songs so it’s not","70f1b4e3-db24-4006-ab4e-5f8f1ae981cc","360","9e687f51-1fa6-4374-b9e0-2e3df630bcd5"
"1718850642","20 Jun 2024, 02:30","Really From","76654b90-7bfd-4423-899e-97ef9c2c5eed","Verse","","You Need a Visa","98183a39-6090-46f8-b0ff-2ad9210e8d09"
